Variable,Category,Coefficient,HR,SE,P_Value,Overall_P
age,＜45,-0.05569061113491826,0.9458317204294051,0.16715609831351735,0.7390095121255158,7.733139009388581e-16
age,＞60,0.8117436061895889,2.251830871945334,0.11672731893038439,3.5460093947350905e-12,7.733139009388581e-16
sex,男,0.21842613710791017,1.2441171191447826,0.09823345153107405,0.02617932132165824,0.02681879362211675
site,喉和下咽,-0.2956358705096752,0.7440583122727339,0.33950453085786436,0.38387088520463997,0.0009473252598249982
site,大唾液腺,-0.20085656214344705,0.8180297595743282,0.11336740492428617,0.07643919706121667,0.0009473252598249982
site,鼻腔鼻窦副鼻窦鼻咽,0.32092588701070385,1.378403419510182,0.1367221966173687,0.018910811180485043,0.0009473252598249982
grade,2中分化,0.3131976118686834,1.3677917962157413,0.242340276409889,0.19622288641090516,8.177135359321098e-06
grade,3分化差,0.8610186766789815,2.365569216938105,0.2613529325672524,0.0009860843507951548,8.177135359321098e-06
grade,4未分化间变性,1.3701895788514986,3.936096825458563,0.2784974044363744,8.657224103399585e-07,8.177135359321098e-06
grade,不明,0.533763051934891,1.705337523148762,0.2100174550613362,0.01103723988420623,8.177135359321098e-06
radiotherapy,Yes,-0.24593646380084622,0.7819719068699672,0.10354398582433208,0.01753999963301179,0.019159710566692318
chemotherapy,Yes,1.051449746979466,2.8617969936491088,0.1348253358435647,6.2594490738541446e-15,2.914251194636074e-12
tumor_number,＞1,0.23211849769496448,1.2612691774637543,0.10788611553372443,0.031435644899650235,0.03437367825200472
race,其他,0.23725644962768516,1.26776619425914,0.3510188808411316,0.49909909449419343,0.23059685315823206
race,白,0.3147239555855975,1.3698811107303555,0.3411036798445587,0.3561825308287464,0.23059685315823206
race,黑,0.5947334929242528,1.8125478237652441,0.3678660583118342,0.10594044945622465,0.23059685315823206
marital_status,分居,-0.7198653565578826,0.4868177983715014,0.5054148250918525,0.15435791787245678,0.0902299597863985
marital_status,同居未婚,-2.64748456371996,0.07082915539246319,2.348435512506697,0.25959888732675573,0.0902299597863985
marital_status,已婚,-0.4411149552324585,0.6433187494657696,0.14942880481592677,0.0031571524391262058,0.0902299597863985
marital_status,未婚,-0.3982810356570187,0.6714732932045696,0.1765046582564675,0.024039946929900517,0.0902299597863985
marital_status,未知,-0.2789610903670503,0.7565693404776861,0.23449071408767438,0.23418530580995295,0.0902299597863985
marital_status,离异,-0.36317702540751234,0.6954633079257437,0.21122877227762957,0.08554994067238926,0.0902299597863985
T,T1,-0.7541024848850831,0.4704326457226972,0.3535834427136642,0.032945844006269626,3.789546790465747e-16
T,T2,-0.21559565577226106,0.8060611621673024,0.35396955778669903,0.542471642880751,3.789546790465747e-16
T,T3,0.17768548676724727,1.1944495919494578,0.3532667675889262,0.6149795914809109,3.789546790465747e-16
T,T4,1.1130746822146755,3.0437024398478263,0.5307910054267194,0.035992584070053936,3.789546790465747e-16
T,T4A,0.3115053602218945,1.365479105675226,0.35298230545489967,0.37750881405253234,3.789546790465747e-16
T,T4B,0.6428676067772614,1.9019270457272026,0.36717718454383846,0.07997389432400827,3.789546790465747e-16
T,T4NOS,0.40830605406966913,1.504267477909098,0.7826192720219662,0.6018671414924337,3.789546790465747e-16
T,TX,0.3564344761367615,1.4282279444401338,0.3715031049558916,0.3373377597742048,3.789546790465747e-16
N,N1,0.7211864033173413,2.0568720434538545,0.18292590769151865,8.06347892020213e-05,8.329763419536599e-16
N,N2,2.621937775869237,13.762366144104739,0.5897879370335096,8.766312983356446e-06,8.329763419536599e-16
N,N2A,0.44501386371640406,1.560511830176159,0.9846231474648918,0.6512951751050459,8.329763419536599e-16
N,N2B,1.4600409933635137,4.306136047727463,0.1784686098509416,2.8163806769822357e-16,8.329763419536599e-16
N,N2C,1.3802809105863916,3.976018376287712,0.505124051953351,0.006284455203518395,8.329763419536599e-16
N,N3,1.966627875681479,7.146536799670436,0.7145168526756909,0.005916231259811279,8.329763419536599e-16
N,N3B,1.6462848211056795,5.187670855973328,0.42211216057202566,9.61480876142066e-05,8.329763419536599e-16
N,NX,0.7390310483533206,2.0939056379112055,0.21190156883658037,0.00048734964664191795,8.329763419536599e-16
M,M1,1.5590547370841792,4.75432503327776,0.134361087527522,3.9570544156396626e-31,7.382648862606021e-22
M,MX,0.6271468254217323,1.8722610636716712,0.7077041192374008,0.3755254198831044,7.382648862606021e-22
