Variable,Coefficient,HR,SE,Coef_Lower,Coef_Upper,HR_Lower,HR_Upper,Comparison,Z,P_Value,Log2P
T_T1,-0.9373402416911989,0.3916681939271198,0.36675818163758267,-1.6561730687362604,-0.21850741464613743,0.19086802301773054,0.8037175201415567,0.0,-2.555744598541622,0.010596086033518718,6.560324727135478
T_T2,-0.03987221670027547,0.9609122198416923,0.3598643299963694,-0.7451933428137966,0.6654489094132455,0.4746425223471112,1.9453636173916826,0.0,-0.11079791292645685,0.9117766004061354,0.1332477101540942
T_T3,0.14295487964749312,1.153677746145052,0.36070269427824947,-0.5640094102644377,0.8499191695594239,0.5689234374339406,2.3394577448830627,0.0,0.3963232931584824,0.6918665456724747,0.531434312031533
T_T4,1.4766941788289822,4.37844736570601,0.543711973307012,0.4110382931840355,2.542350064473929,1.5083831162444163,12.709504056230424,0.0,2.7159493469443112,0.006608602813832509,7.241438994263522
T_T4A,0.5003496686346277,1.6492978776205378,0.35672370081364924,-0.19881593739196635,1.1995152746612217,0.8197007557073414,3.318507967918479,0.0,1.4026252460752755,0.16072861938971214,2.6373012562575426
T_T4B,0.825736607100157,2.283562234117652,0.37323440513583955,0.09421061524268004,1.5572625989576339,1.0987911437117546,4.7458122564340215,0.0,2.2123807337633523,0.026940368958505264,5.21408658058695
T_T4NOS,-2.6562754475048425,0.0702092333424495,3.708792312416261,-9.92537480597974,4.612823910970054,4.891752672434286e-05,100.76830896034515,0.0,-0.7162103519822848,0.473861471950518,1.0774627297293466
T_TX,0.19804250926363007,1.2190142121167677,0.38375365447096693,-0.5541008324350933,0.9501858509623535,0.5745886804925631,2.586190260603119,0.0,0.5160667708471636,0.6058077752144486,0.7230680004263405
M_M1,1.391173027653163,4.019562346414573,0.16467873455016047,1.0684086389152168,1.7139374163911094,2.910743768033371,5.550774215907758,0.0,8.447800084530146,2.968431150500679e-17,54.90307696131701
M_MX,1.1359452755115844,3.114115849493617,0.7237248239957254,-0.28252931423762684,2.5544198652607957,0.7538745423779303,12.863834734991915,0.0,1.5695817496489437,0.11651244710495932,3.101444007669913
grade_2中分化,0.42224758584122046,1.5253861419461463,0.31456688040072,-0.19429217047330938,1.0387873421557503,0.8234172909006141,2.8257882215424504,0.0,1.342314185470919,0.1794941458452282,2.4779913031943814
grade_3分化差,0.9053819441798515,2.472876243395821,0.3332887121497689,0.2521480719125673,1.5586158164471358,1.2867865601259754,4.752238719801957,0.0,2.716509474143255,0.006597430692322885,7.243879994907023
grade_4未分化间变性,1.6707058675639967,5.315918807826334,0.34835476537539944,0.9879430735853132,2.3534686615426805,2.6857044904076903,10.522003769339506,0.0,4.7959897025194556,1.6187359608681968e-06,19.23670088881759
grade_不明,0.49340120924369457,1.6378775211847005,0.2807118356556852,-0.056783878675574995,1.0435862971629641,0.9447982383496796,2.8393816430987724,0.0,1.7576786817385548,0.078802197149154,3.6656203345601033
chemotherapy_Yes,0.7818437617142692,2.1854980907328163,0.16505612676425555,0.45833969782865064,1.1053478255998876,1.581446125641576,3.0202748150266894,0.0,4.736835748187354,2.1708096429961286e-06,18.81333534689303
age_＜45,-0.15605134529332831,0.8555152625611819,0.18188760308811783,-0.5125444965803556,0.20044180599369893,0.5989695621608798,1.2219425004413533,0.0,-0.8579548173919649,0.3909174130387534,1.35506424537109
age_＞60,0.5138164715700941,1.6716588747527896,0.13914736547318968,0.24109264669901015,0.7865402964411781,1.2726389356430257,2.195786499434591,0.0,3.6926065385628455,0.00022196730399507678,12.137365197740328
tumor_number_＞1,-0.3778961166999105,0.6853016883691442,0.15696238759736642,-0.6855367433181652,-0.07025549008165588,0.5038197351118906,0.9321556329612616,0.0,-2.4075584124604066,0.01605959288983078,5.960420868729376
